Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Compra de un grupo de productos con descuentos con cliente registrado,Chrome 114.0.0.0,,,2023-07-05 20:21:07,2023-07-05 20:23:05,"1m - 58,058s",FAILED
,,,,,,,
Test Cases/ScriptsComunes/AccesoATienda,Chrome 114.0.0.0,,,2023-07-05 20:21:08,2023-07-05 20:21:17,"9,710s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-05 20:21:08,2023-07-05 20:21:11,"3,137s",PASSED
"navigateToUrl(""https://pruebasqafenix.com/"")",Chrome 114.0.0.0,,,2023-07-05 20:21:11,2023-07-05 20:21:13,"2,044s",PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-05 20:21:13,2023-07-05 20:21:13,"0,299s",PASSED
waitForPageLoad(30),Chrome 114.0.0.0,,,2023-07-05 20:21:13,2023-07-05 20:21:14,"0,463s",PASSED
"click(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/AceptarCookies""))",Chrome 114.0.0.0,,,2023-07-05 20:21:14,2023-07-05 20:21:15,"1,356s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-05 20:21:17,2023-07-05 20:21:17,"0,002s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/BusquedaDeProductosEnDescuento,Chrome 114.0.0.0,,,2023-07-05 20:21:17,2023-07-05 20:21:24,"6,693s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/DesplegableCategorias""), ""descuento-50"", true)",Chrome 114.0.0.0,,,2023-07-05 20:21:18,2023-07-05 20:21:19,"1,372s",PASSED
"click(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/BotonBuscar""))",Chrome 114.0.0.0,,,2023-07-05 20:21:19,2023-07-05 20:21:22,"2,511s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-05 20:21:24,2023-07-05 20:21:24,"0,001s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/ComprobacionPaginaDeProductosConDescuento,Chrome 114.0.0.0,,,2023-07-05 20:21:24,2023-07-05 20:21:37,"13,436s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Has buscado -/span_Oferta""))",Chrome 114.0.0.0,,,2023-07-05 20:21:24,2023-07-05 20:21:25,"0,447s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Has buscado -/h2_Pantaln y camisa de hombre""))",Chrome 114.0.0.0,,,2023-07-05 20:21:25,2023-07-05 20:21:25,"0,411s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Has buscado -/h2_Vestido de noche""))",Chrome 114.0.0.0,,,2023-07-05 20:21:25,2023-07-05 20:21:26,"0,418s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Has buscado -/h2_Vestido de playa""))",Chrome 114.0.0.0,,,2023-07-05 20:21:26,2023-07-05 20:21:26,"0,402s",PASSED
