Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__username""), Usuario)",Chrome 114.0.0.0,,,2023-07-06 00:44:50,2023-07-06 00:44:51,"0,891s",PASSED
"setText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__password""), Password)",Chrome 114.0.0.0,,,2023-07-06 00:44:51,2023-07-06 00:44:52,"0,731s",PASSED
"click(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/BotonAcceder""))",Chrome 114.0.0.0,,,2023-07-06 00:44:52,2023-07-06 00:44:58,"5,668s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-06 00:45:00,2023-07-06 00:45:00,"0,000s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/ComprobarComponentesDeMiCuenta,Chrome 114.0.0.0,,,2023-07-06 00:45:00,2023-07-06 00:45:28,"28,313s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/p_Hola sonia (no eres sonia Cerrar sesin)""), ""Hola "" + NombreVisible + "" (¿no eres "" + NombreVisible + ""? Cerrar sesión)"")",Chrome 114.0.0.0,,,2023-07-06 00:45:00,2023-07-06 00:45:01,"0,383s",PASSED
"verifyElementClickable(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_CerrarSesion""))",Chrome 114.0.0.0,,,2023-07-06 00:45:01,2023-07-06 00:45:01,"0,386s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/p_Desde el escritorio de tu cuenta puedes v_98bda8""), ""Desde el escritorio de tu cuenta puedes ver tus pedidos recientes, gestionar tus direcciones de envío y facturación y editar tu contraseña y los detalles de tu cuenta."")",Chrome 114.0.0.0,,,2023-07-06 00:45:01,2023-07-06 00:45:02,"0,390s",PASSED
"verifyElementClickable(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_pedidos recientes""))",Chrome 114.0.0.0,,,2023-07-06 00:45:02,2023-07-06 00:45:02,"0,383s",PASSED
"verifyElementClickable(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_DireccionDeEnvioYFacturacion""))",Chrome 114.0.0.0,,,2023-07-06 00:45:02,2023-07-06 00:45:02,"0,404s",PASSED
"verifyElementClickable(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_editar tu contraseña y los detalles de tu cuenta""))",Chrome 114.0.0.0,,,2023-07-06 00:45:02,2023-07-06 00:45:03,"0,360s",PASSED
"click(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_Pedidos""))",Chrome 114.0.0.0,,,2023-07-06 00:45:03,2023-07-06 00:45:05,"1,908s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/span_Pedido""), ""Pedido"")",Chrome 114.0.0.0,,,2023-07-06 00:45:05,2023-07-06 00:45:06,"0,967s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/span_Fecha""), ""Fecha"")",Chrome 114.0.0.0,,,2023-07-06 00:45:06,2023-07-06 00:45:06,"0,431s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/span_Estado""), ""Estado"")",Chrome 114.0.0.0,,,2023-07-06 00:45:06,2023-07-06 00:45:06,"0,371s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/span_Total""), ""Total"")",Chrome 114.0.0.0,,,2023-07-06 00:45:06,2023-07-06 00:45:07,"0,373s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/span_Acciones""), ""Acciones"")",Chrome 114.0.0.0,,,2023-07-06 00:45:07,2023-07-06 00:45:07,"0,397s",PASSED
"EstadoPedido = getText(findTestObject(""Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/td_En espera""))",Chrome 114.0.0.0,,,2023-07-06 00:45:07,2023-07-06 00:45:08,"0,381s",PASSED
println(EstadoPedido),Chrome 114.0.0.0,,,2023-07-06 00:45:08,2023-07-06 00:45:08,"0,007s",PASSED
"while (EstadoPedido != ""Procesando"")",Chrome 114.0.0.0,,,2023-07-06 00:45:08,2023-07-06 00:45:08,"0,003s",PASSED
"if (EstadoPedido == ""Procesando"" || EstadoPedido == ""En espera"")",Chrome 114.0.0.0,,,2023-07-06 00:45:08,2023-07-06 00:45:08,"0,412s",PASSED
"click(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_Tarjetas regalo""))",Chrome 114.0.0.0,,,2023-07-06 00:45:08,2023-07-06 00:45:10,"1,793s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/svg_Group""))",Chrome 114.0.0.0,,,2023-07-06 00:45:10,2023-07-06 00:45:11,"0,962s",PASSED
"click(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_Descargas""))",Chrome 114.0.0.0,,,2023-07-06 00:45:11,2023-07-06 00:45:12,"1,582s",PASSED
"click(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_Direcciones""))",Chrome 114.0.0.0,,,2023-07-06 00:45:12,2023-07-06 00:45:14,"2,091s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/h3_Direccin de facturacin""), 2)",Chrome 114.0.0.0,,,2023-07-06 00:45:14,2023-07-06 00:45:15,"0,850s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/h3_Direccin de facturacin""), ""Dirección de facturación"")",Chrome 114.0.0.0,,,2023-07-06 00:45:15,2023-07-06 00:45:16,"0,352s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/h3_Direccin de envo""), ""Dirección de envío"")",Chrome 114.0.0.0,,,2023-07-06 00:45:16,2023-07-06 00:45:16,"0,378s",PASSED
"click(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_Detalles de la cuenta""))",Chrome 114.0.0.0,,,2023-07-06 00:45:16,2023-07-06 00:45:18,"1,620s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Nombre""))",Chrome 114.0.0.0,,,2023-07-06 00:45:18,2023-07-06 00:45:19,"1,361s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Apellidos""))",Chrome 114.0.0.0,,,2023-07-06 00:45:19,2023-07-06 00:45:19,"0,420s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__account_first_name""))",Chrome 114.0.0.0,,,2023-07-06 00:45:19,2023-07-06 00:45:20,"0,383s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__account_last_name""))",Chrome 114.0.0.0,,,2023-07-06 00:45:20,2023-07-06 00:45:20,"0,411s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__account_display_name""))",Chrome 114.0.0.0,,,2023-07-06 00:45:20,2023-07-06 00:45:21,"0,404s",PASSED
"verifyElementText(findTestObject(""Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Nombre visible""), ""Nombre visible *"")",Chrome 114.0.0.0,,,2023-07-06 00:45:21,2023-07-06 00:45:21,"0,403s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Direccin de correo electrnico""), ""Dirección de correo electrónico *"")",Chrome 114.0.0.0,,,2023-07-06 00:45:21,2023-07-06 00:45:21,"0,387s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__account_email""))",Chrome 114.0.0.0,,,2023-07-06 00:45:21,2023-07-06 00:45:22,"0,425s",PASSED
"scrollToElement(findTestObject(""Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__account_display_name""), 2)",Chrome 114.0.0.0,,,2023-07-06 00:45:22,2023-07-06 00:45:22,"0,367s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/legend_Cambio de contrasea""), ""Cambio de contraseña"")",Chrome 114.0.0.0,,,2023-07-06 00:45:22,2023-07-06 00:45:23,"0,411s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Contrasea actual (djalo en blanco par_24ce4a""), ""Contraseña actual (déjalo en blanco para no cambiarla)"")",Chrome 114.0.0.0,,,2023-07-06 00:45:23,2023-07-06 00:45:23,"0,387s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input_Contrasea actual (djalo en blanco par_1c1791""))",Chrome 114.0.0.0,,,2023-07-06 00:45:23,2023-07-06 00:45:23,"0,395s",PASSED
