Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/ScriptsComunes/ComprobarCalculoCosteDeEnvio,Chrome 114.0.0.0,,,2023-07-06 00:42:07,2023-07-06 00:42:22,"14,477s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/th_Envio""), ""Envío"")",Chrome 114.0.0.0,,,2023-07-06 00:42:08,2023-07-06 00:42:08,"0,387s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/label_Precio fijo 3,00""), ""Precio fijo: 3,00 €"")",Chrome 114.0.0.0,,,2023-07-06 00:42:08,2023-07-06 00:42:09,"0,396s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/TextoDeOpcionesDeEnvio""), ""Las opciones de envío se actualizarán durante el pago."")",Chrome 114.0.0.0,,,2023-07-06 00:42:09,2023-07-06 00:42:09,"0,411s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/a_CalcularCosteEnvio""))",Chrome 114.0.0.0,,,2023-07-06 00:42:09,2023-07-06 00:42:09,"0,481s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/th_Impuestos (estimado para España)""), ""Impuestos (estimado para España)"")",Chrome 114.0.0.0,,,2023-07-06 00:42:09,2023-07-06 00:42:10,"0,423s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/th_Total""), ""Total"")",Chrome 114.0.0.0,,,2023-07-06 00:42:10,2023-07-06 00:42:10,"0,398s",PASSED
"scrollToElement(findTestObject(""Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/CiudadDelEnvio""), 2)",Chrome 114.0.0.0,,,2023-07-06 00:42:10,2023-07-06 00:42:11,"0,433s",PASSED
"click(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/a_CalcularCosteEnvio""))",Chrome 114.0.0.0,,,2023-07-06 00:42:11,2023-07-06 00:42:11,"0,555s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/span_Espaa""))",Chrome 114.0.0.0,,,2023-07-06 00:42:11,2023-07-06 00:42:12,"0,560s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/CiudadDelEnvio""))",Chrome 114.0.0.0,,,2023-07-06 00:42:12,2023-07-06 00:42:12,"0,430s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/CPDelEnvio""))",Chrome 114.0.0.0,,,2023-07-06 00:42:12,2023-07-06 00:42:13,"0,416s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/BotonActualizar""), ""Actualizar"")",Chrome 114.0.0.0,,,2023-07-06 00:42:13,2023-07-06 00:42:13,"0,372s",PASSED
"setText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/CiudadDelEnvio""), Provincia)",Chrome 114.0.0.0,,,2023-07-06 00:42:13,2023-07-06 00:42:14,"0,767s",PASSED
"setText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/CPDelEnvio""), CP)",Chrome 114.0.0.0,,,2023-07-06 00:42:14,2023-07-06 00:42:15,"0,780s",PASSED
"click(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/BotonActualizar""))",Chrome 114.0.0.0,,,2023-07-06 00:42:15,2023-07-06 00:42:16,"1,738s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/CosteEnvio""), CosteEnvio)",Chrome 114.0.0.0,,,2023-07-06 00:42:16,2023-07-06 00:42:19,"2,794s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/strong_28009 madrid, Madrid""), CP + "" "" + Provincia)",Chrome 114.0.0.0,,,2023-07-06 00:42:19,2023-07-06 00:42:19,"0,351s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-06 00:42:22,2023-07-06 00:42:22,"0,001s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/CerrarNavegador,Chrome 114.0.0.0,,,2023-07-06 00:42:22,2023-07-06 00:42:25,"3,511s",PASSED
deleteAllCookies(),Chrome 114.0.0.0,,,2023-07-06 00:42:22,2023-07-06 00:42:22,"0,107s",PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-06 00:42:22,2023-07-06 00:42:23,"1,040s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-06 00:42:25,2023-07-06 00:42:25,"0,000s",PASSED
